ID,Site,Time,State,Quality,Reason,Status,Suppression,Type,is_chatter
1,Chatter_Site,03/10/2023 00:00:22,In Operation,Good,Current Data,,,Sensor,False
2,Chatter_Site,03/10/2023 00:00:06,Off,Good,Current Data,,,Sensor,True
3,Chatter_Site,03/10/2023 00:00:22,In Operation,Good,Current Data,,,Sensor,True
4,Chatter_Site,03/10/2023 00:00:28,Off,Good,Current Data,,,Sensor,True
5,Chatter_Site,03/10/2023 00:00:03,In Operation,Good,Current Data,,,Sensor,True
6,Chatter_Site,03/10/2023 00:00:17,Off,Good,Current Data,,,Sensor,True
7,Chatter_Site,03/10/2023 00:00:30,In Operation,Good,Current Data,,,Sensor,True
8,Chatter_Site,03/10/2023 00:00:03,Off,Good,Current Data,,,Sensor,True
9,Chatter_Site,04/10/2023 00:00:03,Off,Good,Current Data,,,Sensor,False
10,Chatter_Site,04/10/2023 00:00:05,In Operation,Good,Current Data,,,Sensor,True
11,Chatter_Site,04/10/2023 00:00:19,Off,Good,Current Data,,,Sensor,True
12,Chatter_Site,04/10/2023 00:00:07,In Operation,Good,Current Data,,,Sensor,True
13,Chatter_Site,04/10/2023 00:00:27,Off,Good,Current Data,,,Sensor,True
14,Chatter_Site,04/10/2023 00:00:16,In Operation,Good,Current Data,,,Sensor,True
15,Chatter_Site,04/10/2023 00:00:11,Off,Good,Current Data,,,Sensor,True
16,Chatter_Site,04/10/2023 00:00:07,In Operation,Good,Current Data,,,Sensor,True
17,Chatter_Site,04/10/2023 00:00:11,Off,Good,Current Data,,,Sensor,True
18,Chatter_Site,04/10/2023 00:00:15,In Operation,Good,Current Data,,,Sensor,True
19,Chatter_Site,04/10/2023 00:00:24,Off,Good,Current Data,,,Sensor,True
20,Chatter_Site,05/10/2023 00:00:27,In Operation,Good,Current Data,,,Sensor,False
21,Chatter_Site,05/10/2023 00:00:03,Off,Good,Current Data,,,Sensor,True
22,Chatter_Site,05/10/2023 00:00:17,In Operation,Good,Current Data,,,Sensor,True
23,Chatter_Site,05/10/2023 00:00:13,Off,Good,Current Data,,,Sensor,True
24,Chatter_Site,05/10/2023 00:00:13,In Operation,Good,Current Data,,,Sensor,True
25,Chatter_Site,05/10/2023 00:00:06,Off,Good,Current Data,,,Sensor,True
26,Chatter_Site,05/10/2023 00:00:27,In Operation,Good,Current Data,,,Sensor,True
