ID,Site,Time,Value,State,Quality,Reason,Status,Suppression,Type,real_point
1,Site_001,31/12/2023 17:14:05,1,Off,Good,Current Data,,None,,
2,Site_001,31/12/2023 17:13:08,1,Off,Good,Current Data,,None,,
3,Site_001,31/12/2023 17:11:52,1,Off,Good,Current Data,,None,,
4,Site_001,31/12/2023 17:06:47,1,Off,Good,Current Data,,None,,
5,Site_001,31/12/2023 17:04:29,1,Off,Good,Current Data,,None,,
6,Site_001,31/12/2023 17:02:14,1,Off,Good,Current Data,,None,,
7,Site_001,31/12/2023 16:57:04,1,Off,Good,Current Data,,None,,
8,Site_001,31/12/2023 16:56:15,1,Off,Good,Current Data,,None,,
9,Site_001,31/12/2023 16:55:06,1,Off,Good,Current Data,,None,,
10,Site_001,31/12/2023 16:52:54,1,Off,Good,Current Data,,None,,
11,Site_001,31/12/2023 16:51:17,1,Off,Good,Current Data,,None,,
12,Site_001,31/12/2023 16:50:42,1,Off,Good,Current Data,,None,,
13,Site_001,31/12/2023 16:50:07,1,Off,Good,Current Data,,None,,
14,Site_001,31/12/2023 16:46:06,1,Off,Good,Current Data,,None,,
15,Site_001,31/12/2023 15:00:38,1,Off,Good,Current Data,,None,,
16,Site_001,31/12/2023 15:00:04,1,Off,Good,State Change,,None,,
17,Site_001,31/12/2023 15:00:04,1,Off,Good,State Change,,None,,
18,Site_001,31/12/2023 15:00:01,0,In Operation,Good,State Change,,None,,
19,Site_001,31/12/2023 14:59:43,1,Off,Good,State Change,,None,,
20,Site_001,31/12/2023 14:59:43,1,Off,Good,State Change,,None,,
21,Site_001,31/12/2023 14:59:26,0,In Operation,Good,State Change,,None,,
22,Site_001,31/12/2023 14:58:32,1,Off,Good,State Change,,None,,
23,Site_001,31/12/2023 14:58:32,1,Off,Good,State Change,,None,,
24,Site_001,31/12/2023 14:57:41,0,In Operation,Good,State Change,,None,,
25,Site_001,31/12/2023 14:57:30,1,Off,Good,State Change,,None,,
26,Site_001,31/12/2023 14:57:30,1,Off,Good,State Change,,None,,
27,Site_001,31/12/2023 14:57:26,0,In Operation,Good,State Change,,None,,
28,Site_001,31/12/2023 14:57:01,1,Off,Good,State Change,,None,,
29,Site_001,31/12/2023 14:57:01,1,Off,Good,State Change,,None,,
30,Site_001,31/12/2023 14:55:55,0,In Operation,Good,State Change,,None,,
31,Site_001,31/12/2023 14:55:45,1,Off,Good,State Change,,None,,
32,Site_001,31/12/2023 14:55:45,1,Off,Good,State Change,,None,,
33,Site_001,31/12/2023 14:55:14,0,In Operation,Good,State Change,,None,,
34,Site_001,31/12/2023 14:54:49,1,Off,Good,State Change,,None,,
35,Site_001,31/12/2023 14:54:49,1,Off,Good,State Change,,None,,
36,Site_001,31/12/2023 14:54:48,0,In Operation,Good,State Change,,None,,
37,Site_001,31/12/2023 14:53:57,1,Off,Good,State Change,,None,,
38,Site_001,31/12/2023 14:53:57,1,Off,Good,State Change,,None,,
39,Site_001,31/12/2023 14:53:53,0,In Operation,Good,State Change,,None,,
40,Site_001,31/12/2023 14:53:43,1,Off,Good,State Change,,None,,
41,Site_001,31/12/2023 14:53:43,1,Off,Good,State Change,,None,,
42,Site_001,31/12/2023 14:53:37,0,In Operation,Good,State Change,,None,,
43,Site_001,31/12/2023 14:53:22,1,Off,Good,State Change,,None,,
44,Site_001,31/12/2023 14:53:22,1,Off,Good,State Change,,None,,
45,Site_001,31/12/2023 14:53:11,0,In Operation,Good,State Change,,None,,
46,Site_001,31/12/2023 14:52:30,1,Off,Good,State Change,,None,,
47,Site_001,31/12/2023 14:52:30,1,Off,Good,State Change,,None,,
48,Site_001,31/12/2023 14:46:01,0,In Operation,Good,State Change,,None,,
49,Site_001,31/12/2023 14:45:51,1,Off,Good,State Change,,None,,
50,Site_001,31/12/2023 14:45:51,1,Off,Good,State Change,,None,,
51,Site_001,31/12/2023 14:42:18,0,In Operation,Good,State Change,,None,,
52,Site_001,31/12/2023 14:41:57,1,Off,Good,State Change,,None,,
53,Site_001,31/12/2023 14:41:57,1,Off,Good,State Change,,None,,
54,Site_001,31/12/2023 14:41:44,0,In Operation,Good,State Change,,None,,
55,Site_001,31/12/2023 14:41:16,1,Off,Good,State Change,,None,,
56,Site_001,31/12/2023 14:41:16,1,Off,Good,State Change,,None,,
57,Site_001,31/12/2023 13:29:54,0,In Operation,Good,Current Data,,None,,
58,Site_001,31/12/2023 13:28:23,0,In Operation,Good,Current Data,,None,,
59,Site_001,31/12/2023 13:26:11,0,In Operation,Good,Current Data,,None,,
60,Site_001,31/12/2023 13:23:04,0,In Operation,Good,Current Data,,None,,
61,Site_001,31/12/2023 13:22:04,0,In Operation,Good,Current Data,,None,,
62,Site_001,31/12/2023 13:19:38,0,In Operation,Good,Current Data,,None,,
63,Site_001,31/12/2023 13:14:27,0,In Operation,Good,Current Data,,None,,
64,Site_001,31/12/2023 13:12:16,0,In Operation,Good,Current Data,,None,,
65,Site_001,31/12/2023 13:09:28,0,In Operation,Good,Current Data,,None,,
66,Site_001,31/12/2023 13:04:32,0,In Operation,Good,Current Data,,None,,
67,Site_001,31/12/2023 13:02:57,0,In Operation,Good,Current Data,,None,,
68,Site_001,31/12/2023 05:00:46,0,In Operation,Good,Current Data,,None,,
69,Site_001,31/12/2023 04:48:56,0,In Operation,Good,State Change,,None,,
70,Site_001,31/12/2023 04:48:44,1,Off,Good,State Change,,None,,
