ID,Site,Time,State,Quality,Reason,Status,Suppression,Type,real_point
1,Stable_Site,03/10/2023 04:16:52,In Operation,Good,Current Data,,,Sensor,True
2,Stable_Site,03/10/2023 04:18:33,Off,Good,Current Data,,,Sensor,True
3,Stable_Site,03/10/2023 04:20:20,In Operation,Good,Current Data,,,Sensor,True
4,Stable_Site,03/10/2023 04:23:02,Off,Good,Current Data,,,Sensor,True
5,Stable_Site,03/10/2023 04:25:56,In Operation,Good,Current Data,,,Sensor,True
6,Stable_Site,03/10/2023 04:27:47,Off,Good,Current Data,,,Sensor,True
7,Stable_Site,03/10/2023 04:29:50,In Operation,Good,Current Data,,,Sensor,True
8,Stable_Site,03/10/2023 04:31:47,Off,Good,Current Data,,,Sensor,True
9,Stable_Site,03/10/2023 04:33:28,In Operation,Good,Current Data,,,Sensor,True
10,Stable_Site,03/10/2023 04:36:07,Off,Good,Current Data,,,Sensor,True
11,Stable_Site,03/10/2023 04:38:29,In Operation,Good,Current Data,,,Sensor,True
12,Stable_Site,03/10/2023 04:40:49,Off,Good,Current Data,,,Sensor,True
13,Stable_Site,03/10/2023 04:42:30,In Operation,Good,Current Data,,,Sensor,True
14,Stable_Site,03/10/2023 04:44:23,Off,Good,Current Data,,,Sensor,True
15,Stable_Site,04/10/2023 02:27:00,Off,Good,Current Data,,,Sensor,True
16,Stable_Site,04/10/2023 02:28:51,In Operation,Good,Current Data,,,Sensor,True
17,Stable_Site,04/10/2023 02:31:19,Off,Good,Current Data,,,Sensor,True
18,Stable_Site,04/10/2023 02:33:05,In Operation,Good,Current Data,,,Sensor,True
19,Stable_Site,04/10/2023 02:36:02,Off,Good,Current Data,,,Sensor,True
20,Stable_Site,04/10/2023 02:38:14,In Operation,Good,Current Data,,,Sensor,True
21,Stable_Site,04/10/2023 02:41:05,Off,Good,Current Data,,,Sensor,True
22,Stable_Site,04/10/2023 02:44:02,In Operation,Good,Current Data,,,Sensor,True
23,Stable_Site,04/10/2023 02:46:02,Off,Good,Current Data,,,Sensor,True
24,Stable_Site,04/10/2023 02:48:01,In Operation,Good,Current Data,,,Sensor,True
25,Stable_Site,04/10/2023 02:49:54,Off,Good,Current Data,,,Sensor,True
26,Stable_Site,04/10/2023 02:52:18,In Operation,Good,Current Data,,,Sensor,True
27,Stable_Site,04/10/2023 02:54:51,Off,Good,Current Data,,,Sensor,True
28,Stable_Site,04/10/2023 02:57:08,In Operation,Good,Current Data,,,Sensor,True
29,Stable_Site,05/10/2023 21:29:38,In Operation,Good,Current Data,,,Sensor,True
30,Stable_Site,05/10/2023 21:31:56,Off,Good,Current Data,,,Sensor,True
31,Stable_Site,05/10/2023 21:34:08,In Operation,Good,Current Data,,,Sensor,True
32,Stable_Site,05/10/2023 21:37:02,Off,Good,Current Data,,,Sensor,True
33,Stable_Site,05/10/2023 21:39:35,In Operation,Good,Current Data,,,Sensor,True
34,Stable_Site,05/10/2023 21:41:19,Off,Good,Current Data,,,Sensor,True
35,Stable_Site,05/10/2023 21:43:34,In Operation,Good,Current Data,,,Sensor,True
36,Stable_Site,05/10/2023 21:45:44,Off,Good,Current Data,,,Sensor,True
37,Stable_Site,05/10/2023 21:48:06,In Operation,Good,Current Data,,,Sensor,True
38,Stable_Site,05/10/2023 21:50:05,Off,Good,Current Data,,,Sensor,True
39,Stable_Site,05/10/2023 21:52:45,In Operation,Good,Current Data,,,Sensor,True
40,Stable_Site,05/10/2023 21:54:59,Off,Good,Current Data,,,Sensor,True
41,Stable_Site,05/10/2023 21:57:25,In Operation,Good,Current Data,,,Sensor,True
42,Stable_Site,05/10/2023 21:59:15,Off,Good,Current Data,,,Sensor,True
43,Stable_Site,06/10/2023 23:03:24,In Operation,Good,Current Data,,,Sensor,True
44,Stable_Site,06/10/2023 23:05:43,Off,Good,Current Data,,,Sensor,True
45,Stable_Site,06/10/2023 23:08:31,In Operation,Good,Current Data,,,Sensor,True
46,Stable_Site,06/10/2023 23:11:01,Off,Good,Current Data,,,Sensor,True
47,Stable_Site,06/10/2023 23:12:41,In Operation,Good,Current Data,,,Sensor,True
48,Stable_Site,06/10/2023 23:15:16,Off,Good,Current Data,,,Sensor,True
